tic_id,tmag,teff,bp_rp,parallax,ra_deg,dec_deg,has_tess_lightcurve,n_tess_products,first_sector,excluded_reason
407357369,6.80539,9786.0,0.01839000000000013,5.31448,20.8253878071293,36.5146331534733,True,7,17,
11997346,6.55708,9977.0,-0.008009999999999629,9.6589,31.1663797360345,65.1035009828233,True,23,52,
50119980,6.67539,10013.0,-0.0052000000000003155,7.58822,39.7430632354156,62.5915157853455,True,9,18,
67786245,6.0937,9505.03,0.02161999999999953,12.2763,56.1175150188725,20.9287361149159,True,15,42,
262435808,6.53538,9484.0,0.10983999999999927,4.49545,73.4825229461945,1.56937000972347,True,11,32,
156576373,6.12785,9817.0,-0.03754999999999953,6.98633,90.8532041173454,11.6810672977775,True,15,33,
452884731,6.8466,9649.0,0.35075000000000056,1.2718,2.90477558171316,58.2118286371068,True,18,57,
57920096,5.91385,9720.41,-0.009059999999999846,6.61317,4.65940729246549,31.51723037944,True,10,17,
319718327,6.57914,9760.0,0.028590000000000337,5.10533,6.66445023182149,56.6412015942267,True,18,17,
428612809,6.41563,9840.0,0.011820000000000164,6.69092,8.33027575932507,70.9818541198048,True,13,58,
461419393,7.1894,6061.0,1.1873600000000009,2.52928,3.28342422935162,68.1725613009999,True,8,58,
202512541,7.2285,5982.0,0.8525,0.91503,6.58103531706003,51.2803585687444,True,5,84,
440661265,7.2954,6086.0,0.7258000000000004,10.5102,7.06936145332555,28.0605064879729,True,9,17,
450008897,7.00813,5886.84,0.8095500000000007,6.98786,9.38007145470199,55.2253522464133,True,13,17,
461597067,6.6127,6163.74,0.6954399999999996,23.7127,9.56074632591123,84.674980617209,True,41,18,
258768772,7.12682,5930.45,0.7880099999999999,9.22512,10.3820315594145,12.9592365848997,True,16,42,
238301314,6.9059,5908.52,0.8003499999999999,15.2903,0.858053409676782,20.6655395955103,True,6,57,
257502302,6.7599,5743.0,0.8304900000000002,23.199,0.696563997766192,2.13015199433585,True,7,42,
83623070,6.90796,6088.0,1.0486899999999997,2.40799,3.52760870702685,60.7203562060953,True,14,57,
303241443,7.0973,6260.13,0.6564800000000002,15.6979,5.48888470273016,16.8769418728228,True,5,57,
347304641,5.7623,5763.68,0.8281199999999993,47.8005,1.56588848963093,58.4366986089182,True,32,17,
289971775,5.8926,5493.0,0.9036800000000005,58.3088,119.07178378135,80.2655429442767,True,32,19,
241194947,5.30762,5236.0,1.02351,6.62274,153.457101066852,27.1358254049966,True,6,21,
286927243,5.73577,5202.0,1.0343800000000005,6.92835,198.1496215711,18.7517504077051,True,6,23,
155634533,5.0739,5476.93,0.9363999999999999,11.194,201.736691917772,78.6438699763874,True,43,14,
105657000,5.36538,5190.0,1.1341399999999995,7.02135,205.064908150235,31.0120357216101,True,9,23,
83907586,5.65138,5637.0,1.0442800000000005,4.15147,3.97849933649347,61.0001710160066,True,28,17,
414829038,5.52603,5289.0,1.0480799999999997,5.68042,14.4771296652395,13.6958615430532,True,12,17,
440042075,6.2447,6891.57,0.5334900000000005,17.2432,3.20017708980093,46.095403549577,True,12,17,
444335503,6.1666,6589.72,0.55593,18.4711,5.97161160524547,60.9613876577015,True,19,57,
52187600,5.42,6880.0,0.7915099999999997,1.24172,15.9041780467721,61.0748205544096,True,12,18,
44561692,5.8373,6537.0,0.6010800000000005,23.671,21.776368869285,34.3775517360174,True,14,17,
354318511,5.5477,6548.5,0.5777900000000002,22.5415,27.7380338102803,51.9334187419091,True,10,18,
405267424,5.3985,7038.27,0.43682,26.7852,0.623756780117996,8.48546305951281,True,7,42,
368454136,5.9828,6635.16,0.5667299999999997,24.1023,11.6604369302305,69.3254086824963,True,23,24,
410504627,6.273,6840.0,0.6842800000000002,1.46146,25.911573278578,52.8857803676697,True,3,58,
372858036,5.9128,6672.0,1.6568699999999996,0.306563,26.0484004673931,61.8498015846766,True,14,24,
240644651,6.861,6053.14,0.7235199999999997,20.9305,8.62379657702518,47.9155420313053,True,12,17,
284531640,7.21701,6182.0,0.69712,5.8026,9.96629425857104,63.2275337077684,True,14,17,
368404959,6.9885,5968.65,0.7445000000000004,21.265,11.4484326991657,66.4926780669179,True,9,18,
53678115,6.72688,6075.74,0.7423100000000007,9.02651,12.4938768475652,34.9741783532385,True,7,17,
283545765,7.2272,5987.0,0.7401099999999996,19.4747,13.2473724355113,39.0433767768721,True,9,17,
196290243,7.112,6139.0,0.77644,1.87534,14.0548619643241,46.6541211622532,True,6,57,
283885050,6.884,6076.0,0.7370999999999999,12.72,2.11861057019725,34.9345471201693,True,10,17,
434216735,7.3403,6151.76,0.6728100000000001,17.7409,10.4249730415557,20.1370744669705,True,9,17,
352180433,4.5582,8811.92,0.08462000000000014,15.6852,4.27285790560034,38.6816441666123,True,10,17,
331940649,4.796,8590.0,,7.47,148.026656,54.06437,True,12,21,
259902074,4.7798,8679.0,0.10878999999999994,10.9214,41.3859741575751,-67.6166201807558,True,51,1,
266586474,4.6802,8794.0,0.10721000000000025,19.7054,319.484526648218,-32.1725471445341,True,17,1,
196613658,4.9762,8511.0,0.14694999999999947,18.368,17.0035398013815,43.9420877213532,True,13,17,
384986756,4.9426,8872.0,0.07106999999999974,21.8865,50.3606551307834,43.3296503903761,True,9,18,
115055479,4.3794,8595.0,0.51553,1.04449,83.1819821271063,32.1920262295165,True,27,19,
137054713,4.5026,8851.0,0.08455000000000013,16.97,235.387725431096,19.6704000293255,True,6,24,
234309613,4.0706,8936.0,0.07396000000000047,23.7186,35.4372525532317,-68.6594136153249,True,36,1,
118005686,7.1498,6248.0,0.6776099999999996,10.3905,0.710263665994634,28.2519046714761,True,6,57,
194141400,7.32297,6022.0,0.8081199999999997,3.38427,0.758860122469269,39.9951438577958,True,5,57,
403023651,7.329,6383.0,,11.07,1.533463,9.714954,True,14,42,
440657017,7.0351,6149.88,0.73001,16.3681,6.86122423490525,26.2787955812351,True,11,17,
115598451,7.2549,6176.0,0.7183799999999998,16.68,8.37480817073698,40.1056561009082,True,5,57,
445188441,7.2298,6161.0,0.7231300000000003,20.6855,11.4620374399791,54.9778328119275,True,17,17,
257431346,7.0857,6021.0,0.7601700000000005,12.2268,12.7684984545213,2.74358408176893,True,9,42,
436545965,7.1042,6220.86,0.6627999999999998,11.8324,13.7789669863343,23.4162398951373,True,10,17,
344713467,7.1312,6410.76,0.6496400000000007,11.3177,15.4986844637494,2.52596179103518,True,9,42,
380884414,7.4486,6243.69,0.6820500000000003,14.2898,16.21014426061,7.04594152889102,True,12,42,
52627373,5.8929,5448.0,1.9356999999999998,0.301461,16.7489176116025,63.7731646256935,True,15,18,
61360821,6.1645,5804.54,0.7959500000000004,20.5571,23.7420767119094,33.1178443679042,True,4,17,
398018469,5.8849,5672.0,0.8635799999999998,47.4926,23.6386016223691,68.948135589728,True,35,18,
346923890,6.1706,5787.0,0.8205900000000002,39.2718,24.4203303046357,12.0783809490683,True,12,42,
405376575,6.2855,5700.0,0.8254400000000004,42.0087,31.6260147730939,24.3339922446587,True,22,17,
372131402,5.4758,5668.81,0.8429399999999996,28.2831,1.22385287112369,34.659667010415,True,10,17,
611978188,5.4758,5704.0,0.8429399999999996,28.2831,1.22385287112369,34.659667010415,True,4,17,
417236897,6.0145,5934.14,0.7376100000000001,16.6508,17.7113956128308,67.7801243887217,True,19,24,
423745428,6.27373,5596.0,1.2023199999999994,4.67615,34.9230283468504,60.0130542948099,True,4,58,
