target_name,source_catalog,ra_deg,dec_deg,sp_type,teff_catalog,disk_temperature,disk_radius,distance_pc,reference,sample_role,tic_id,tmag,teff_tic,tic_match_sep_arcsec,gaia_dr3_source_id,bp_rp,parallax,gaia_match_sep_arcsec,tic_query_status,gaia_query_status
HR 9102,Cotten & Song 2016 table3,1.0847083333333334,-29.268805555555556,A0V,8820,200,11.6,124.84,Su et al. 2006,disk_or_ir_excess_target,12377940,6.36463,9772.0,0.17813186689684046,2320998853585525632,0.034275055,7.764007366118098,0.2916082925551517,matched,matched
HD 105,Cotten & Song 2016 table3,1.4693333333333332,-41.75325,G0V,6070,390,0.5,39.38,Zuckerman et al. 2004,disk_or_ir_excess_target,120462356,6.9827,6033.0,1.2488222153735187,4995853014646189696,0.75072956,25.753415493475273,0.7576750770029749,matched,matched
HD 166,Cotten & Song 2016 table3,1.6547083333333334,29.02094444444444,K0V,5700,300,0.6,13.67,Bryden et al. 2006,disk_or_ir_excess_target,238432056,5.3971,5489.0,4.9626130442760275,2860924621205256704,0.9170017,72.64189108452184,1.7536698894826181,matched,matched
HD 203,Cotten & Song 2016 table3,1.7090416666666668,-23.10761111111111,F3V,6710,160,6.0,39.38,Rebull et al. 2008,disk_or_ir_excess_target,229012143,5.8109,6762.91,1.178899884432264,2337191189529102336,0.5283246,25.162805081468484,0.6397990318561293,matched,matched
HD 377,Cotten & Song 2016 table3,2.1075,6.616805555555556,G2V,5910,200,2.1,39.07,Moor et al. 2006,disk_or_ir_excess_target,405187645,7.019,5895.0,0.8105050737860299,2745647973856851712,0.78495026,26.03863506376948,0.5890289883958123,matched,matched
sig And,Cotten & Song 2016 table3,4.581666666666666,36.78511111111111,A2V,8780,155,14.9,41.32,Morales et al. 2009,disk_or_ir_excess_target,194503676,4.5394,8770.0,0.815237582838303,378607281314502016,0.09509897,23.254163192588408,0.44356080884825233,matched,matched
HD 1466,Cotten & Song 2016 table3,4.609458333333333,-63.47766666666667,F8V,6140,140,4.7,41.54,Smith et al. 2006,disk_or_ir_excess_target,425934574,6.9538,6147.0,1.1599282768438195,4901229043960053248,0.697855,23.35551119232331,0.5652513027316478,matched,matched
HD 1461,Cotten & Song 2016 table3,4.675708333333334,-8.053444444444445,G3V,5880,65,20.5,23.24,Lawler et al. 2009,disk_or_ir_excess_target,37748347,5.8575,5739.0,4.76906250958827,2430102808294101760,0.8331771,42.73076832887228,2.3021237619533577,matched,matched
9 Cet,Cotten & Song 2016 table3,5.715791666666666,-12.209416666666666,G3V,5920,40,48.5,20.86,Chen et al. 2014,disk_or_ir_excess_target,184281898,5.7957,5794.32,0.07639976657531214,,,,,matched,failed
kap Phe,Cotten & Song 2016 table3,6.551333333333334,-43.67963888888889,A5IV,8010,170,9.0,23.8,Rieke et al. 2005,disk_or_ir_excess_target,80256268,3.8061,7868.33,1.4713865269783635,4992538055808271360,0.26240516,41.72283479422134,0.44875557080681105,matched,matched
HD 2834,Cotten & Song 2016 table3,7.854083333333335,-48.8035,A1V,8950,95,46.3,52.96,Chen et al. 2014,disk_or_ir_excess_target,155996406,4.7598,9505.0,0.0784395936039227,4975414983274332800,0.036396027,18.470512945750432,2.274563299353238,matched,matched
HD 2772,Cotten & Song 2016 table3,7.943166666666667,54.522277777777774,B8V,12230,400,7.6,115.74,Chen et al. 2005,disk_or_ir_excess_target,320502029,4.7539,11969.1,0.19494219891007905,418090121095577216,-0.0906558,7.4272781420426846,0.6879218583996236,matched,matched
bet03 Tuc,Cotten & Song 2016 table3,8.183458333333332,-63.03161111111111,A0V,9050,300,3.4,45.55,Song et al. 2001,disk_or_ir_excess_target,469974193,5.0809,9164.14,0.936932160568827,4900916679578514048,0.045404434,21.679423229838562,0.671838384073866,matched,matched
HD 3126,Cotten & Song 2016 table3,8.613,-6.504138888888889,F4V,6380,200,2.9,40.91,Trilling et al. 2008,disk_or_ir_excess_target,38381642,6.4543,6514.67,1.1427301321871366,2526580040189355136,0.6162925,24.780520827276476,0.6382172998068165,matched,matched
HD 3296,Cotten & Song 2016 table3,9.008458333333332,-5.571,:F5,6450,60,39.2,45.04,Trilling et al. 2008,disk_or_ir_excess_target,212960381,6.266,6456.08,2.811429710848033,2526790940262580864,0.6094184,22.300969492047066,1.227084503798969,matched,matched
HD 3670,Cotten & Song 2016 table3,9.736583333333332,-52.53433333333333,F5V,6440,290,1.5,83.12,Moor et al. 2011,disk_or_ir_excess_target,156069089,7.7779,6466.0,0.7325047892298586,4924930906883506560,0.61456823,12.97562720159168,0.3679550420277718,matched,matched
64 Psc,Cotten & Song 2016 table3,12.244625,16.940638888888888,F8V,6570,300,1.7,23.45,Koerner et al. 2010,disk_or_ir_excess_target,303319608,4.5699,6272.0,0.040867506406075074,2781872793183604096,0.68561316,42.750525128637356,3.1921074203737376,matched,matched
HD 5133,Cotten & Song 2016 table3,13.254708333333332,-30.356916666666667,K2.5V,5170,30,45.7,14.17,Lawler et al. 2009,disk_or_ir_excess_target,66409287,6.2881,4921.0,0.06694941122336212,,,,,matched,not_found
66 Psc,Cotten & Song 2016 table3,13.646791666666669,19.188333333333333,A1Vn,9340,250,8.7,108.1,Rhee et al. 2007,disk_or_ir_excess_target,436544292,5.783,9226.0,0.34842117486081076,2789007592856305024,-0.024337292,,0.16135498333132448,matched,matched
TYC2278-834-1,Cotten & Song 2016 table3,16.105416666666667,31.307694444444444,:K0,5310,260,0.7,62.89,,disk_or_ir_excess_target,174393765,9.1961,,0.3205208540421755,313316116192612352,1.0500107,2.7258981553652912,0.18672864478684587,matched,matched
V443 And,Cotten & Song 2016 table3,17.674625000000002,42.93180555555555,G7V,5660,200,1.4,27.07,Kim et al. 2005,disk_or_ir_excess_target,196692982,7.0012,5496.0,0.10972217707139782,373208954099200768,0.89057875,37.094598079938905,4.001546361698882,matched,matched
HR 333,Cotten & Song 2016 table3,18.071791666666662,79.67397222222223,A3V,8920,80,69.7,82.84,Jura et al. 2004,disk_or_ir_excess_target,435680540,5.6011,9419.0,1.109904728290541,565525976023772288,0.0467515,12.29525447411803,0.4181043808661447,matched,matched
HD 7570,Cotten & Song 2016 table3,18.796333333333333,-45.531666666666666,F9VFe,6170,85,14.5,15.11,Beichman et al. 2006,disk_or_ir_excess_target,229092427,4.4319,6119.03,0.028365760853711543,,,,,matched,not_found
HD 7590,Cotten & Song 2016 table3,19.121458333333333,42.93930555555555,G0-V,6090,200,1.9,23.19,Plavchan et al. 2009,disk_or_ir_excess_target,196841006,6.0429,5962.88,1.1983096329098875,373349657227961472,0.75912046,41.38032726593179,0.6763429996856916,matched,matched
2MASS J01203226-1128035,Cotten & Song 2016 table3,20.134791666666665,-11.468111111111112,G9V,5500,300,0.5,34.39,Carpenter et al. 2009,disk_or_ir_excess_target,10802452,7.7224,5314.0,1.9017435873209212,2470272812780609280,0.9624119,28.32736548023202,0.9225897233641894,matched,matched
HD 8907,Cotten & Song 2016 table3,22.143416666666667,42.26744444444444,:F7,6250,50,45.0,34.77,Zuckerman et al. 2004,disk_or_ir_excess_target,191770861,6.1757,6271.0,1.108737270533091,396341196983414272,0.65976524,29.94076460671236,0.6966741949416991,matched,matched
EO Psc,Cotten & Song 2016 table3,22.27041666666667,21.723166666666664,K2.5V,4930,70,11.1,23.73,Ballering et al. 2013,disk_or_ir_excess_target,381316671,6.8153,4822.0,0.04264325430071307,,,,,matched,not_found
49 Cet,Cotten & Song 2016 table3,23.657666666666668,-15.67636111111111,A1V,8670,180,9.6,59.38,Oudmaijer et al. 1992,disk_or_ir_excess_target,54003409,5.6003,8790.0,0.8834728192492655,2451838022871837312,0.07496452,17.472520369020444,0.625911395261474,matched,matched
EX Cet,Cotten & Song 2016 table3,24.398249999999997,-6.760694444444445,G5V,5440,200,1.3,23.95,Plavchan et al. 2009,disk_or_ir_excess_target,29900813,6.9385,5291.0,1.9443290977855825,2477815222028038272,0.9709339,41.56362142958949,1.2201822709289742,matched,matched
HD 10472,Cotten & Song 2016 table3,25.100624999999997,-60.99908333333333,F2IV/V,6610,200,3.4,67.24,Zuckerman et al. 2004,disk_or_ir_excess_target,231839456,7.2296,6775.0,0.6154972640175848,4715896429133940352,0.53107595,14.02048465592582,0.3714130803471601,matched,matched
HD 10647,Cotten & Song 2016 table3,25.623041666666666,-53.741083333333336,F9V,6280,300,1.0,17.43,Zuckerman et al. 2004,disk_or_ir_excess_target,229137615,5.0067,6150.97,2.1137820777517184,4912580642524184960,0.7105031,57.640899065213326,1.078256967557888,matched,matched
tau Cet,Cotten & Song 2016 table3,26.017000000000003,-15.937472222222222,G8.5V,5750,500,0.2,3.65,Greaves et al. 2004,disk_or_ir_excess_target,419015728,2.7459,5333.0,0.16987754369559485,,,,,matched,not_found
HD 10638,Cotten & Song 2016 table3,26.095250000000004,32.51569444444444,:A6,7470,65,49.8,69.3,Moor et al. 2006,disk_or_ir_excess_target,85281928,6.5186,7679.0,0.9148353679168206,305415678470300928,0.30753088,14.756233246003271,0.5628225405735596,matched,matched
HD 10939,Cotten & Song 2016 table3,26.526666666666667,-53.52186111111111,A1V,8960,200,10.7,62.03,Rhee et al. 2007,disk_or_ir_excess_target,229142326,5.0473,9110.0,1.3703718127094129,4912947570170211840,0.04441452,16.057535557154335,0.8680065904038272,matched,matched
TYC8850-1468-1,Cotten & Song 2016 table3,28.532083333333333,-60.906638888888885,:K2,5040,185,1.2,92.95,,disk_or_ir_excess_target,231858679,10.4388,4861.0,0.44556941785617005,4714247024253568768,1.1876707,0.8160622920436013,0.25723177102644296,matched,matched
BD+20 307,Cotten & Song 2016 table3,28.709874999999997,21.306166666666662,:F9,6110,410,0.66,96.15,Song et al. 2005,disk_or_ir_excess_target,91373945,8.45172,6152.0,0.4479931922148172,97294345128598656,0.7195797,8.524026969808933,0.27642116654253707,matched,matched
DK Cet,Cotten & Song 2016 table3,29.454375,-21.90161111111111,G4V,5800,350,0.5,40.89,Hines et al. 2006,disk_or_ir_excess_target,266746662,7.4405,5691.0,1.1055784135755815,5135093346121603712,0.83526754,24.205282560124612,0.7376099527028435,matched,matched
eps Tri,Cotten & Song 2016 table3,30.741499999999995,33.28408333333333,A2V,8630,200,16.6,120.04,Rhee et al. 2007,disk_or_ir_excess_target,63398390,5.49711,9141.0,0.20845341083939053,328788886199337344,0.06491947,9.105285443713202,0.31531055525772,matched,matched
HD 13246,Cotten & Song 2016 table3,31.859375,-59.6795,F7V,6160,165,3.5,44.16,Moor et al. 2009,disk_or_ir_excess_target,231064749,6.9982,6263.0,0.9789532416599831,4714764481913306496,0.69261456,22.025537666084354,0.5379094547167715,matched,matched
HD 12467,Cotten & Song 2016 table3,32.355041666666665,81.29602777777778,A1.5V,8140,200,7.4,70.57,Rhee et al. 2007,disk_or_ir_excess_target,331726184,5.9466,8349.0,0.37644324804024515,568948068526015104,0.1704297,14.238398989226614,0.3853588692607229,matched,matched
TYC3698-2277-1,Cotten & Song 2016 table3,33.88408333333333,59.24011111111111,:F0,6940,200,4.0,113.1,,disk_or_ir_excess_target,347949646,8.09622,7170.0,0.641447081322302,507237428667667584,0.45391083,5.309943939851628,0.2232501099494003,matched,matched
gam Tri,Cotten & Song 2016 table3,34.32883333333333,33.84711111111111,A1V,8970,85,53.2,34.43,Zuckerman et al. 2004,disk_or_ir_excess_target,63790159,4.0017,9441.0,0.7189845150233708,326109689896765568,0.04534602,27.979464525783225,0.5386282090260236,matched,matched
HD 14082B,Cotten & Song 2016 table3,34.353291666666664,28.741611111111112,G2V,5910,220,1.1,27.33,Rebull et al. 2008,disk_or_ir_excess_target,118301927,7.1878,5940.86,0.9281677562217887,107774198474602368,0.79357624,25.230631889461055,0.8575853945960097,matched,matched
HD 15115,Cotten & Song 2016 table3,36.56804166666667,6.2924444444444445,:F3,6660,320,1.3,45.22,Zuckerman et al. 2004,disk_or_ir_excess_target,381003375,6.3927,6772.17,1.3143914672160062,2517397846786452224,0.54123163,20.502644220776563,0.4471015778929513,matched,matched
AG Tri,Cotten & Song 2016 table3,36.87216666666667,30.973305555555555,K7V,4330,205,0.8,39.95,Rebull et al. 2008,disk_or_ir_excess_target,285466901,8.9818,4300.0,1.0952618713579187,132362959259196032,1.5532999,24.423161288542683,0.6265542293030433,matched,matched
phi For,Cotten & Song 2016 table3,37.007083333333334,-33.811027777777774,A2.5V,8630,100,30.2,46.59,Ballering et al. 2013,disk_or_ir_excess_target,91529289,5.0939,8669.0,0.057851663064326854,4967177781457918976,0.1088047,20.966292077519366,0.3428832124863457,matched,matched
HD 15407,Cotten & Song 2016 table3,37.7115,55.548138888888886,F5V,6380,525,0.5,54.7,Oudmaijer et al. 1992,disk_or_ir_excess_target,372121208,6.5134,6472.0,1.3025732680509923,457326850673147264,0.60227585,20.26789764624098,0.7100905776586034,matched,matched
HD 15745,Cotten & Song 2016 table3,38.232708333333335,37.3335,:F2,6730,120,9.5,63.49,Zuckerman et al. 2004,disk_or_ir_excess_target,139372528,7.1162,6827.18,0.6403725178363457,333649522164960256,0.49569988,13.941112090762086,0.4278018511348862,matched,matched
HD 16743,Cotten & Song 2016 table3,39.781875,-52.93463888888888,F1III/IV,6850,200,4.3,58.85,Moor et al. 2006,disk_or_ir_excess_target,166835573,6.4335,7025.0,0.9907022985634,4742097275828451584,0.47773314,17.2991779920502,0.4306178357909489,matched,matched
33 Ari,Cotten & Song 2016 table3,40.17133333333333,27.060861111111112,A2/3V,8450,95,47.1,70.97,Trilling et al. 2007,disk_or_ir_excess_target,436840249,5.2438,8710.0,0.6905325927182423,126973904883932160,0.12038469,12.646353401652002,0.44412818922886105,matched,matched
